,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover
0,Ushuaia,-68.3,-54.8,44.6,5.82,81.0,75.0
0,Punta Arenas,-70.92,-53.15,46.4,5.82,93.0,90.0
0,Río Gallegos,-69.22,-51.62,50.0,12.75,81.0,75.0
0,Bluff,168.33,-46.6,51.01,14.03,76.0,88.0
0,Kaitangata,169.85,-46.28,52.0,5.01,70.0,56.0
0,Mataura,168.86,-46.19,49.57,4.94,87.0,90.0
0,Dunedin,170.5,-45.87,54.0,1.99,87.0,97.0
0,Coyhaique,-72.07,-45.58,59.0,6.93,82.0,90.0
0,Te Anau,167.72,-45.42,52.7,4.18,86.0,92.0
0,Christchurch,172.63,-43.53,51.01,4.7,81.0,13.0
0,Hobart,147.33,-42.88,55.0,5.82,76.0,40.0
0,New Norfolk,147.06,-42.78,53.01,1.01,83.0,70.0
0,Ancud,-73.82,-41.87,62.6,8.05,72.0,100.0
0,Viedma,-63.0,-40.81,62.46,9.44,40.0,62.0
0,Necochea,-58.74,-38.55,57.99,4.0,65.0,42.0
0,Codrington,141.97,-38.27,50.9,10.13,94.0,2.0
0,Mar del Plata,-57.56,-38.0,62.01,10.29,59.0,59.0
0,Mount Gambier,140.77,-37.83,51.8,9.17,93.0,75.0
0,Bairnsdale,147.62,-37.83,54.0,4.56,82.0,0.0
0,Lebu,-73.65,-37.62,59.86,9.26,76.0,100.0
0,Ulladulla,150.47,-35.35,59.0,2.24,67.0,0.0
0,Swan Hill,143.55,-35.34,52.12,5.61,81.0,0.0
0,Constitución,-72.42,-35.33,64.56,5.5,46.0,93.0
0,Ahipara,173.17,-35.17,61.27,6.91,79.0,38.0
0,Departamento de Maldonado,-54.92,-34.67,59.0,8.05,62.0,75.0
0,Morón,-58.62,-34.65,64.0,6.02,100.0,76.0
0,Flinders,150.86,-34.58,63.0,1.99,82.0,0.0
0,Bredasdorp,20.04,-34.53,62.6,2.24,88.0,100.0
0,Rocha,-54.33,-34.48,55.35,5.1,65.0,99.0
0,Hermanus,19.23,-34.42,57.99,1.99,94.0,99.0
0,Mildura,142.15,-34.2,50.0,4.7,87.0,0.0
0,Machalí,-70.67,-34.18,78.8,6.93,21.0,0.0
0,Kruisfontein,24.73,-34.0,62.67,4.36,57.0,93.0
0,Cape Town,18.42,-33.93,64.99,14.99,93.0,20.0
0,Port Elizabeth,25.57,-33.92,60.8,3.36,93.0,100.0
0,Esperance,121.9,-33.87,53.6,17.22,93.0,90.0
0,Venado Tuerto,-61.97,-33.75,62.01,4.0,46.0,0.0
0,Chui,-53.46,-33.7,56.98,5.46,65.0,99.0
0,Busselton,115.33,-33.65,50.0,10.98,98.0,35.0
0,Port Alfred,26.89,-33.59,63.0,1.01,91.0,100.0
0,East London,27.91,-33.02,66.81,11.95,77.0,100.0
0,Saldanha,17.94,-33.01,59.0,4.7,87.0,100.0
0,Clarence Town,151.78,-32.58,54.0,3.18,93.0,0.0
0,Port Macquarie,152.92,-31.43,54.0,5.32,97.0,0.0
0,Port Shepstone,30.45,-30.74,63.9,5.21,83.0,43.0
0,Cidreira,-50.21,-30.18,59.36,9.86,81.0,71.0
0,Coquimbo,-71.34,-29.95,60.8,5.82,77.0,40.0
0,Prieska,22.75,-29.66,61.83,1.97,28.0,100.0
0,Moree,149.85,-29.47,51.8,8.88,81.0,0.0
0,Richards Bay,32.04,-28.78,64.99,4.27,89.0,10.0
0,Geraldton,114.6,-28.77,55.4,4.7,93.0,75.0
0,Oranjemund,16.43,-28.55,65.08,6.29,47.0,77.0
0,Santiago del Estero,-64.26,-27.8,65.44,6.93,45.0,0.0
0,Lüderitz,15.16,-26.65,57.2,12.75,87.0,45.0
0,San Vicente,-54.13,-26.62,53.1,3.15,62.0,6.0
0,Diego de Almagro,-70.05,-26.37,79.48,7.4,23.0,0.0
0,Yulara,130.99,-25.24,51.8,5.82,50.0,0.0
0,Ambovombe,46.08,-25.17,66.0,2.89,84.0,3.0
0,Carnarvon,113.63,-24.87,62.02,22.91,63.0,0.0
0,Castro,-50.01,-24.79,52.97,3.96,71.0,0.0
