,weather,base,dt,timezone,id,name,cod,Lon,Lat,main.temp,main.feels_like,main.temp_min,Max Temp,main.pressure,Humidity,main.sea_level,main.grnd_level,Wind Speed,wind.deg,Cloud Cover,sys.country,sys.sunrise,sys.sunset,message,visibility,sys.type,sys.id,wind.gust,rain.1h,snow.1h
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885238.0,-10800.0,3393692.0,Itarema,200,-39.92,-2.92,79.43,83.37,79.43,79.43,1011.0,81.0,1011.0,1009.0,9.44,106.0,26.0,BR,1588840577.0,1588883766.0,,,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,1588885212.0,-32400.0,4030556.0,Rikitea,200,-134.97,-23.12,74.86,72.3,74.86,74.86,1019.0,75.0,1019.0,1016.0,15.01,116.0,16.0,PF,1588864960.0,1588905006.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885491.0,19800.0,1256990.0,Satwās,200,76.68,22.53,84.52,78.48,84.52,84.52,1006.0,17.0,1006.0,971.0,5.19,272.0,0.0,IN,1588896992.0,1588944180.0,,,,,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588885207.0,43200.0,6201424.0,Mataura,200,168.86,-46.19,49.57,45.82,49.57,49.57,1016.0,87.0,1016.0,1010.0,4.94,243.0,90.0,NZ,1588881032.0,1588915895.0,,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885309.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,44.6,38.93,44.6,44.6,999.0,81.0,,,5.82,50.0,75.0,AR,1588853146.0,1588884819.0,,10000.0,1.0,8303.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885492.0,14400.0,568527.0,Chernyshkovskiy,200,42.23,48.42,58.21,57.9,58.21,58.21,1009.0,82.0,1009.0,1000.0,2.06,225.0,100.0,RU,1588902022.0,1588955686.0,,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588884983.0,46800.0,4032243.0,Vaini,200,-175.2,-21.2,78.8,85.21,78.8,78.8,1016.0,88.0,,,6.93,80.0,75.0,TO,1588960880.0,1589001191.0,,10000.0,1.0,7285.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885208.0,36000.0,6255012.0,Flinders,200,150.86,-34.58,59.54,59.67,57.0,63.0,1012.0,82.0,,,1.99,286.0,0.0,AU,1588883863.0,1588921703.0,,,3.0,2033627.0,4.0,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885493.0,18000.0,1282256.0,Hithadhoo,200,73.08,-0.6,84.51,87.67,84.51,84.51,1009.0,78.0,1009.0,1009.0,14.76,269.0,5.0,MV,1588899686.0,1588943214.0,,,,,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885493.0,36000.0,2155415.0,New Norfolk,200,147.06,-42.78,51.1,49.62,48.99,53.01,1003.0,83.0,,,1.01,83.0,70.0,AU,1588885770.0,1588921620.0,,,3.0,2031307.0,4.0,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,1588885493.0,39600.0,2136825.0,Isangel,200,169.27,-19.55,75.38,77.11,75.38,75.38,1009.0,78.0,1009.0,1009.0,8.77,339.0,27.0,VU,1588878047.0,1588918683.0,,,,,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588885494.0,25200.0,1633419.0,Padang,200,100.35,-0.95,78.28,82.54,78.28,78.28,1008.0,81.0,1008.0,1008.0,7.78,1.0,100.0,ID,1588893167.0,1588936643.0,,,,,,0.51,
0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,1588885494.0,-28800.0,5880054.0,Barrow,200,-156.79,71.29,8.6,-5.82,8.6,8.6,1033.0,92.0,,,14.99,100.0,90.0,US,1588851233.0,1588929206.0,,6437.0,1.0,7649.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,1588885494.0,36000.0,2088143.0,Porgera,200,143.2,-5.47,41.0,38.66,41.0,41.0,1013.0,100.0,1013.0,662.0,0.56,28.0,100.0,PG,1588883217.0,1588926026.0,,,,,,0.72,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,1588885205.0,-10800.0,3874787.0,Punta Arenas,200,-70.92,-53.15,46.2,41.59,46.0,46.4,1000.0,93.0,,,5.82,40.0,90.0,CL,1588853410.0,1588885813.0,,7000.0,1.0,8487.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885495.0,7200.0,3366880.0,Hermanus,200,19.23,-34.42,57.99,58.84,57.99,57.99,1019.0,94.0,,,1.99,38.0,99.0,ZA,1588829007.0,1588866945.0,,,3.0,2003650.0,4.0,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588884982.0,-34200.0,4020109.0,Atuona,200,-139.03,-9.8,80.94,78.69,80.94,80.94,1013.0,76.0,1013.0,1011.0,20.02,121.0,60.0,PF,1588864874.0,1588907040.0,,,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588884905.0,36000.0,2163355.0,Hobart,200,147.33,-42.88,53.06,48.78,51.01,55.0,1003.0,76.0,,,5.82,180.0,40.0,AU,1588885719.0,1588921542.0,,10000.0,1.0,9545.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885169.0,-10800.0,3430863.0,Mar del Plata,200,-57.56,-38.0,60.8,54.16,59.0,62.01,1019.0,59.0,,,10.29,340.0,59.0,AR,1588847847.0,1588884963.0,,10000.0,1.0,8305.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885218.0,7200.0,1015776.0,Bredasdorp,200,20.04,-34.53,62.6,64.24,62.6,62.6,1022.0,88.0,,,2.24,330.0,100.0,ZA,1588828825.0,1588866739.0,,,1.0,1966.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588885243.0,10800.0,1061605.0,Manakara,200,48.02,-22.13,70.74,73.69,70.74,70.74,1017.0,91.0,1017.0,1017.0,6.55,218.0,21.0,MG,1588907371.0,1588947558.0,,,,,,0.11,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588885496.0,19800.0,1267390.0,Kavaratti,200,72.64,10.57,85.64,91.42,85.64,85.64,1008.0,70.0,1008.0,1007.0,7.83,295.0,46.0,IN,1588898950.0,1588944161.0,,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885496.0,28800.0,1819729.0,Hong Kong,200,114.16,22.29,81.91,92.53,81.0,82.99,1007.0,86.0,,,1.99,270.0,98.0,HK,1588888022.0,1588935160.0,,,3.0,265999.0,7.0,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885259.0,-14400.0,5282297.0,Bethel,200,-73.41,41.37,63.9,53.94,62.6,64.99,1006.0,20.0,,,9.17,320.0,1.0,US,1588844572.0,1588895846.0,,16093.0,1.0,3888.0,24.16,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588884983.0,32400.0,2015306.0,Tiksi,200,128.87,71.69,10.22,-1.48,10.22,10.22,1019.0,96.0,1019.0,1014.0,10.42,348.0,100.0,RU,1588867689.0,1588948432.0,,,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588885225.0,32400.0,1651810.0,Airai,200,125.41,-8.93,55.65,54.41,55.65,55.65,1011.0,85.0,1011.0,854.0,2.95,96.0,5.0,TL,1588887746.0,1588930036.0,,,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,1588885378.0,14400.0,286621.0,Salalah,200,54.09,17.02,82.4,90.99,82.4,82.4,1011.0,88.0,,,6.93,200.0,20.0,OM,1588902885.0,1588949129.0,,10000.0,1.0,7562.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885498.0,25200.0,1643920.0,Gombong,200,109.51,-7.61,76.26,84.63,76.26,76.26,1009.0,93.0,1009.0,1006.0,2.57,48.0,81.0,ID,1588891463.0,1588933951.0,,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885498.0,43200.0,2208248.0,Kaitangata,200,169.85,-46.28,52.0,47.46,52.0,52.0,1014.0,70.0,,,5.01,225.0,56.0,NZ,1588880808.0,1588915643.0,,,3.0,2000217.0,13.0,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588885324.0,16200.0,1159716.0,Sarakhs,200,61.16,36.54,71.6,71.15,71.6,71.6,1006.0,60.0,,,4.7,360.0,51.0,IR,1588899267.0,1588949354.0,,,1.0,7484.0,,,
